category,description,carbohydrate,protein,fat_total_lipid,kilocalories
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",1.6,22.15,31.25,375
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",1.73,22.13,31.2,375
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",2.1,24.73,25.01,334
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",8.32,19.66,24.46,331
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.83,18.4,25.18,330
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",4.5,21.92,24.14,323
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",8.73,16.41,21.23,290
CREAM,"CREAM,FLUID,HALF AND HALF",4.3,2.96,11.5,130
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",3.66,2.7,19.31,195
CREAM,"CREAM,FLUID,LT WHIPPING",2.96,2.17,30.91,292
CREAM,"CREAM,FLUID,HVY WHIPPING",2.79,2.05,37.0,345
CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",12.49,3.2,22.22,257
CREAM,"CREAM,SOUR,RED FAT,CULTURED",4.26,2.94,12.0,135
CREAM,"CREAM,SOUR,CULTURED",2.88,2.07,19.73,193
No Category,EGGNOG,13.54,3.81,7.48,135
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.68,3.25,16.57,178
MILK,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",4.74,3.33,3.46,63
MILK,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",4.74,3.33,3.4,63
CREAM SUB,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",11.38,1.0,9.97,136
CREAM SUB,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",11.38,1.0,9.97,136
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",54.88,4.79,35.48,545
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",52.54,4.9,39.92,577
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",16.53,3.6,12.41,188
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",16.07,0.98,22.3,264
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",23.05,1.25,25.31,318
SOUR CRM,"SOUR CRM,IMITN,CULTURED",6.63,2.4,19.52,208
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",6.16,1.75,3.41,61
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",6.16,1.75,3.41,61
MILK,"MILK,WHL,3.25% MILKFAT",4.52,3.22,3.25,60
MILK,"MILK,PRODUCER,FLUID,3.7% MILKFAT",4.65,3.28,3.66,64
MILK,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",4.68,3.3,1.97,50
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,3.48,1.92,51
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",5.49,3.95,1.98,56
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",4.99,3.37,0.97,42
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,3.48,0.97,43
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",5.52,3.93,1.17,48
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",4.96,3.37,0.08,34
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.02,3.57,0.25,37
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",5.56,3.96,0.25,41
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.79,3.31,0.88,40
MILK,"MILK,LOW SODIUM,FLUID",4.46,3.1,3.46,61
MILK,"MILK,DRY,WHOLE",38.42,26.32,26.71,496
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",51.98,36.16,0.77,362
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",52.19,35.1,0.72,358
MILK,"MILK,DRY,NONFAT,CA RED",51.8,35.5,0.2,354
MILK,"MILK,BUTTERMILK,DRIED",49.0,34.3,5.78,387
MILK,"MILK,CND,COND,SWTND",54.4,7.91,8.7,321
MILK,"MILK,CND,EVAP,WO/ VIT A",10.04,6.81,7.56,134
MILK,"MILK,CND,EVAP,NONFAT",11.35,7.55,0.2,78
MILK,"MILK,CHOC,FLUID,COMM,",10.34,3.17,3.39,83
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",12.13,2.99,1.9,76
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",10.44,3.24,1.0,63
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",10.63,3.52,2.33,77
MILK,"MILK,GOAT,FLUID",4.45,3.56,4.14,69
MILK,"MILK,HUMAN,MATURE,FLUID",6.89,1.03,4.38,70
MILK,"MILK,INDIAN BUFFALO,FLUID",5.18,3.75,6.89,97
MILK,"MILK,SHEEP,FLUID",5.36,5.98,7.0,108
MILK SHAKES,"MILK SHAKES,THICK CHOC",21.15,3.05,2.7,119
MILK SHAKES,"MILK SHAKES,THICK VANILLA",17.75,3.86,3.03,112
WHEY,"WHEY,ACID,FLUID",5.12,0.76,0.09,24
WHEY,"WHEY,ACID,DRIED",73.45,11.73,0.54,339
WHEY,"WHEY,SWEET,FLUID",5.14,0.85,0.36,27
WHEY,"WHEY,SWEET,DRIED",74.46,12.93,1.07,353
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.66,3.47,3.25,61
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.04,5.25,1.55,63
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.68,5.73,0.18,56
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.8,4.93,1.25,85
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.64,3.98,1.15,99
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.05,4.37,1.08,102
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",18.6,4.86,1.41,105
EGG,"EGG,WHOLE,RAW,FRESH",0.77,12.58,9.94,143
EGG,"EGG,WHITE,RAW,FRESH",0.73,10.9,0.17,48
EGG,"EGG,YOLK,RAW,FRSH",3.59,15.86,26.54,317
EGG,"EGG,YOLK,RAW,FROZEN",1.15,15.5,25.6,303
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",10.8,13.8,22.75,307
EGG,"EGG,WHL,CKD,FRIED",0.88,13.63,15.31,196
EGG,"EGG,WHL,CKD,HARD-BOILED",1.12,12.58,10.61,155
EGG,"EGG,WHOLE,COOKED,OMELET",0.68,10.59,12.03,157
EGG,"EGG,WHL,CKD,POACHED",0.76,12.53,9.9,142
EGG,"EGG,WHL,CKD,SCRMBLD",2.2,11.09,12.21,167
EGG,"EGG,WHOLE,DRIED",4.95,47.35,40.95,594
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",2.38,48.17,43.95,615
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.17,76.92,0.04,351
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.47,82.4,0.04,376
EGG,"EGG,YOLK,DRIED",3.6,34.25,55.8,666
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",1.45,12.81,13.77,185
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",1.35,13.87,13.27,185
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",0.41,13.05,11.09,158
EGG,"EGG,TURKEY,WHL,FRSH,RAW",1.15,13.68,11.88,171
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",3.2,11.29,11.11,160
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",0.64,12.0,3.31,84
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",21.8,55.5,13.0,444
BUTTER,"BUTTER,WITHOUT SALT",0.06,0.85,81.11,717
CHEESE,"CHEESE,PARMESAN,SHREDDED",3.41,37.86,27.34,415
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",1.6,22.15,31.25,375
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",2.1,24.73,25.01,334
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.29,19.61,24.6,328
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",8.73,16.41,21.23,290
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",4.85,3.41,0.18,35
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",5.49,3.95,1.98,56
MILK,"MILK,CND,EVAP,W/ VIT A",10.04,6.81,7.56,134
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",51.98,36.16,0.77,362
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",52.19,35.1,0.72,358
CHEESE,"CHEESE,GOAT,HARD TYPE",2.17,30.52,35.59,452
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",2.54,21.58,29.84,364
CHEESE,"CHEESE,GOAT,SOFT TYPE",0.89,18.52,21.08,268
EGG,"EGG,YOLK,RAW,FRZ,SALTED",1.6,14.0,23.0,274
CHEESE SUB,"CHEESE SUB,MOZZARELLA",23.67,11.47,12.22,248
No Category,CHEESE FONDUE,3.77,14.23,13.47,229
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",5.48,10.33,14.92,197
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",4.63,21.44,29.98,373
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",2.87,22.6,28.26,356
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",5.56,21.56,29.68,374
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",1.91,24.35,7.0,173
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1.91,24.35,32.62,398
EGG,"EGG,WHOLE,RAW,FROZEN",1.05,11.95,10.2,148
EGG,"EGG,WHITE,RAW,FROZEN",1.05,9.8,0.0,47
EGG,"EGG,WHITE,DRIED",7.8,81.1,0.0,382
SOUR CREAM,"SOUR CREAM,REDUCED FAT",7.0,7.0,14.1,181
SOUR CREAM,"SOUR CREAM,LIGHT",7.1,3.5,10.6,136
SOUR CREAM,"SOUR CREAM,FAT FREE",15.6,3.1,0.0,74
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",2.0,27.2,18.3,282
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,3.86,0.18,47
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",40.0,40.0,5.0,370
CHEESE,"CHEESE,CREAM,FAT FREE",7.66,15.69,1.0,105
YOGURT,"YOGURT,CHOC,NONFAT MILK",23.53,3.53,0.0,108
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,9.2,12.0,21.0,276
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,16.2,16.3,9.5,215
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,11.7,22.7,1.0,148
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,9.8,16.3,22.0,303
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,11.8,19.6,10.6,222
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,6.5,4.5,12.0,152
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,15.1,4.7,1.3,91
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),18.2,3.8,0.8,96
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),21.9,3.2,0.8,108
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),19.9,3.8,0.9,102
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),9.9,3.4,0.2,55
CREAM,"CREAM,HALF & HALF,FAT FREE",9.0,2.6,1.4,59
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,25.0,3.0,5.0,149
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",12.13,2.99,1.9,78
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",18.6,4.86,1.41,105
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",1.37,20.0,20.0,265
CREAM SUB,"CREAM SUB,FLAV,LIQ",35.07,0.69,13.5,251
CREAM SUB,"CREAM SUB,FLAV,POWDERED",75.42,0.0,21.47,495
CHEESE,"CHEESE,PROVOLONE,RED FAT",3.5,24.7,17.6,274
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",3.41,24.69,19.4,282
EGG MIX,"EGG MIX,USDA CMDTY",23.97,35.6,34.5,549
ALLSPICE,"ALLSPICE,GROUND",72.12,6.09,8.69,263
No Category,ANISE SEED,50.02,17.6,15.9,337
SPICES,"SPICES,BASIL,DRIED",60.96,14.37,3.98,251
SPICES,"SPICES,BAY LEAF",74.97,7.61,8.36,313
No Category,CARAWAY SEED,49.9,19.77,14.59,333
SPICES,"SPICES,CARDAMOM",68.47,10.76,6.7,311
No Category,CELERY SEED,41.35,18.07,25.27,392
CHERVIL,"CHERVIL,DRIED",49.1,23.2,3.9,237
No Category,CHILI POWDER,54.66,12.26,16.76,314
CINNAMON,"CINNAMON,GROUND",80.59,3.99,1.24,247
CLOVES,"CLOVES,GROUND",61.21,5.98,20.07,323
CORIANDER LEAF,"CORIANDER LEAF,DRIED",52.1,21.93,4.78,279
No Category,CORIANDER SEED,54.99,12.37,17.77,298
No Category,CUMIN SEED,44.24,17.81,22.27,375
No Category,CURRY POWDER,58.15,12.66,13.81,325
No Category,DILL SEED,55.17,15.98,14.54,305
DILL WEED,"DILL WEED,DRIED",55.82,19.96,4.36,253
No Category,FENNEL SEED,52.29,15.8,14.87,345
No Category,FENUGREEK SEED,58.35,23.0,6.41,323
No Category,GARLIC POWDER,72.71,16.8,0.76,332
GINGER,"GINGER,GROUND",70.79,9.12,5.95,347
MACE,"MACE,GROUND",50.5,6.71,32.38,475
MARJORAM,"MARJORAM,DRIED",60.56,12.66,7.04,271
MUSTARD SEED,"MUSTARD SEED,YELLOW",34.94,24.94,28.76,469
NUTMEG,"NUTMEG,GROUND",49.29,5.84,36.31,525
No Category,ONION POWDER,80.67,10.12,1.05,347
SPICES,"SPICES,OREGANO,DRIED",64.43,11.0,10.25,306
No Category,PAPRIKA,55.74,14.76,12.95,289
PARSLEY,"PARSLEY,DRIED",51.66,22.42,4.43,276
PEPPER,"PEPPER,BLACK",64.81,10.95,3.26,255
PEPPER,"PEPPER,RED OR CAYENNE",56.63,12.01,17.27,318
PEPPER,"PEPPER,WHITE",68.61,10.4,2.12,296
No Category,POPPY SEED,28.13,17.99,41.56,525
No Category,POULTRY SEASONING,65.59,9.59,7.53,307
No Category,PUMPKIN PIE SPICE,69.28,5.76,12.6,342
ROSEMARY,"ROSEMARY,DRIED",64.06,4.88,15.22,331
No Category,SAFFRON,65.37,11.43,5.85,310
SAGE,"SAGE,GROUND",60.73,10.63,12.75,315
SAVORY,"SAVORY,GROUND",68.73,6.73,5.91,272
SPICES,"SPICES,TARRAGON,DRIED",50.22,22.77,7.24,295
SPICES,"SPICES,THYME,DRIED",63.94,9.11,7.43,276
TURMERIC,"TURMERIC,GROUND",64.93,7.83,9.88,354
BASIL,"BASIL,FRESH",2.65,3.15,0.64,23
DILL WEED,"DILL WEED,FRSH",7.02,3.46,1.12,43
MUSTARD,"MUSTARD,PREPARED,YELLOW",5.33,4.37,4.01,67
SALT,"SALT,TABLE",0.0,0.0,0.0,0
VINEGAR,"VINEGAR,CIDER",0.93,0.0,0.0,21
THYME,"THYME,FRSH",24.45,5.56,1.68,101
No Category,VANILLA EXTRACT,12.65,0.06,0.06,288
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,ALCOHOL",2.41,0.05,0.0,237
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.4,0.03,0.0,56
VINEGAR,"VINEGAR,DISTILLED",0.04,0.0,0.0,18
CAPERS,"CAPERS,CANNED",4.89,2.36,0.86,23
HORSERADISH,"HORSERADISH,PREPARED",11.29,1.18,0.69,48
ROSEMARY,"ROSEMARY,FRESH",20.7,3.31,5.86,131
PEPPERMINT,"PEPPERMINT,FRESH",14.89,3.75,0.94,70
SPEARMINT,"SPEARMINT,FRESH",8.41,3.29,0.73,44
SPEARMINT,"SPEARMINT,DRIED",52.04,19.93,6.03,285
VINEGAR,"VINEGAR,RED WINE",0.27,0.04,0.0,19
VINEGAR,"VINEGAR,BALSAMIC",17.03,0.49,0.0,88
CAMPBELL SOUP CO,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",56.29,0.0,0.0,188
BABYFOOD,"BABYFOOD,MEAT,BF,STR",2.43,12.03,2.52,81
BABYFOOD,"BABYFOOD,MEAT,BF,STR",2.43,12.03,2.52,81
BABYFOOD,"BABYFOOD,MEAT,VEAL,STR",1.51,13.12,2.45,81
BABYFOOD,"BABYFOOD,MEAT,PORK,STR",0.0,14.0,7.1,124
BABYFOOD,"BABYFOOD,MEAT,HAM,STR",3.7,11.3,3.8,97
BABYFOOD,"BABYFOOD,MEAT,HAM,JUNIOR",3.7,11.3,3.8,97
BABYFOOD,"BABYFOOD,MEAT,LAMB,STR",0.85,14.07,3.41,87
BABYFOOD,"BABYFOOD,MEAT,LAMB,JUNIOR",0.0,15.2,5.2,112
BABYFOOD,"BABYFOOD,MEAT,CHICK,STR",0.1,13.7,7.9,130
BABYFOOD,"BABYFOOD,MEAT,CHICK,JR",0.0,14.0,9.6,146
BABYFOOD,"BABYFOOD,MEAT,CHICK STKS,JR",1.5,14.6,14.4,188
BABYFOOD,"BABYFOOD,MEAT,TURKEY,STR",1.4,11.5,6.2,111
BABYFOOD,"BABYFOOD,MEAT,TURKEY,JR",1.4,11.5,6.2,111
BABYFOOD,"BABYFOOD,MEAT,TURKEY STKS,JR",1.4,13.7,14.2,182
BABYFOOD,"BABYFOOD,MEAT,MEAT STKS,JR",1.1,13.4,14.6,184
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",7.7,2.0,0.9,48
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",8.0,2.1,0.8,48
BABYFOOD,"BABYFOOD,DINNER,BF LASAGNA,TODD",10.0,4.2,2.1,77
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",9.45,2.36,1.47,61
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",9.4,2.5,1.1,59
BABYFOOD,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",16.3,3.6,2.2,99
BABYFOOD,"BABYFOOD,DINNER,BF NOODLE,STR",8.18,2.44,2.26,63
BABYFOOD,"BABYFOOD,MACARONI&CHS,TODD",11.2,3.5,2.6,83
BABYFOOD,"BABYFOOD,DINNER,BF&RICE,TODD",8.8,5.0,2.9,82
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",11.42,2.57,1.37,68
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",10.8,5.3,1.0,75
BABYFOOD,"BABYFOOD,DINNER,BF STEW,TODD",5.5,5.1,1.2,51
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,STR",8.84,2.21,3.6,77
BABYFOOD,"BABYFOOD,DINNER,VEG&BF,JR",8.84,2.21,3.6,77
BABYFOOD,"BABYFOOD,DINNER,BF W/VEG",6.36,2.03,6.93,96
BABYFOOD,"BABYFOOD,DINNER,VEG&BACON,STR",8.81,1.92,2.95,69
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,STR",7.8,2.19,2.14,59
BABYFOOD,"BABYFOOD,DINNER,VEG&HAM,JR",8.65,2.02,1.89,60
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,STR",6.9,2.0,2.0,52
BABYFOOD,"BABYFOOD,DINNER,VEG&LAMB,JR",7.1,2.1,1.7,51
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,STR",9.08,2.69,2.06,66
BABYFOOD,"BABYFOOD,DINNER,CHICK NOODLE,JR",8.79,2.37,1.18,55
BABYFOOD,"BABYFOOD,DINNER,CHICK SOUP,STR",7.2,1.6,1.7,50
BABYFOOD,"BABYFOOD,DINNER,CHICK STEW,TODD",6.4,5.2,3.7,78
BABYFOOD,"BABYFOOD,DINNER,VEG CHICK,STR",8.42,2.47,1.73,59
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",7.9,2.0,2.5,63
BABYFOOD,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",9.1,1.7,2.2,64
BABYFOOD,"BABYFOOD,DINNER,PASTA W/VEG",8.4,1.7,2.1,60
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",6.8,1.2,1.2,44
BABYFOOD,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",7.6,1.8,1.5,52
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,STR",7.94,2.27,1.24,52
BABYFOOD,"BABYFOOD,DINNER,TURKEY&RICE,JR",9.57,2.37,0.92,56
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,STR",7.62,2.32,0.9,48
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,JR",7.55,1.72,1.74,53
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,TODD",8.0,4.8,3.4,80
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,STR",8.95,3.14,2.11,67
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,JR",8.2,2.6,2.0,61
BABYFOOD,"BABYFOOD,VEG,GRN BNS,STR",6.29,1.2,0.17,27
BABYFOOD,"BABYFOOD,VEG,GRN BNS,JR",5.7,1.2,0.1,24
BABYFOOD,"BABYFOOD,GRN BNS,DICES,TODD",5.7,1.2,0.2,29
BABYFOOD,"BABYFOOD,VEG,GRN BNS&POTATOES",9.0,2.2,1.9,62
BABYFOOD,"BABYFOOD,VEG,BEETS,STR",7.7,1.3,0.1,34
BABYFOOD,"BABYFOOD,VEG,CARROTS,STR",6.0,0.8,0.1,27
BABYFOOD,"BABYFOOD,VEG,CARROTS,JR",7.2,0.8,0.2,32
Babyfood,"Babyfood, vegetables, squash, strained",5.73,0.81,0.2,28
BABYFOOD,"BABYFOOD,VEG,SQUASH,JR",5.73,0.81,0.2,24
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,STR",13.2,1.1,0.1,57
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,JR",13.9,1.1,0.1,60
BABYFOOD,"BABYFOOD,POTATOES,TODDLER",11.73,1.0,0.1,52
BABYFOOD,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",9.3,2.0,0.6,50
BABYFOOD,"BABYFOOD,APPLS,DICES,TODD",12.1,0.2,0.1,51
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,STR",10.8,0.2,0.2,41
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,JR",10.3,0.0,0.0,37
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",16.3,0.3,0.0,60
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,STR",14.1,1.4,0.4,57
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,JR",16.25,1.4,0.4,65
BABYFOOD,"BABYFOOD,VEG,PEAS,STR",8.36,3.27,0.43,50
BABYFOOD,"BABYFOOD,PEAS,DICES,TODD",10.3,3.9,0.8,64
