member_id,amount_due,due_date,payment_date,is_paid,fine_amount
28,176.51,2024-03-22,,False,40.11
28,125.67,2024-03-05,,False,32.08
28,111.11,2024-05-27,2024-06-14,True,0.0
28,180.74,2024-06-29,2024-07-21,True,0.0
28,166.07,2024-05-31,,False,28.29
29,52.24,2024-06-20,2024-06-21,True,0.0
29,108.32,2024-08-10,2024-09-04,True,0.0
30,84.12,2024-07-25,2024-08-12,True,0.0
30,85.97,2024-04-12,2024-04-21,True,0.0
30,58.91,2024-01-01,,False,24.11
31,132.76,2024-06-19,2024-06-30,True,0.0
31,69.98,2024-07-14,,False,9.15
31,100.98,2023-12-29,2024-01-04,True,0.0
31,76.41,2024-03-29,2024-04-26,True,0.0
31,125.81,2024-07-07,2024-07-21,True,0.0
32,161.57,2024-09-10,2024-09-21,True,0.0
33,113.59,2024-09-13,2024-09-14,True,0.0
33,77.5,2024-02-14,2024-03-13,True,0.0
33,185.51,2024-05-14,2024-05-19,True,0.0
33,185.54,2024-03-27,2024-04-13,True,0.0
34,72.52,2024-05-23,,False,10.62
35,51.29,2024-09-30,2024-10-15,True,0.0
35,81.31,2024-10-31,,False,39.9
35,171.96,2024-06-12,,False,20.14
35,196.69,2024-05-15,2024-06-08,True,0.0
35,142.96,2024-08-02,,False,23.68
36,177.06,2024-02-02,,False,44.01
36,167.88,2024-01-07,,False,37.85
36,80.78,2024-04-11,2024-04-28,True,0.0
37,148.76,2024-10-22,2024-11-13,True,0.0
37,160.66,2024-02-25,2024-03-19,True,0.0
37,146.51,2024-10-07,2024-10-28,True,0.0
37,115.28,2024-07-29,,False,36.91
37,137.52,2024-01-03,2024-01-10,True,0.0
38,166.0,2024-07-10,2024-07-15,True,0.0
38,177.84,2024-09-17,2024-10-04,True,0.0
38,187.75,2024-08-12,2024-09-07,True,0.0
38,51.5,2024-11-07,,False,49.01
39,145.37,2024-05-05,,False,11.83
40,103.77,2024-07-13,2024-07-22,True,0.0
40,110.41,2024-05-01,2024-05-24,True,0.0
41,119.43,2024-10-27,,False,20.72
41,198.54,2024-07-16,2024-08-14,True,0.0
41,181.05,2024-11-10,,False,5.15
41,80.8,2024-08-25,2024-08-28,True,0.0
41,157.99,2024-10-27,2024-11-18,True,0.0
42,134.87,2024-04-04,2024-04-13,True,0.0
42,147.13,2024-06-21,,False,16.64
42,136.95,2024-07-05,2024-07-26,True,0.0
42,100.42,2024-07-05,,False,39.24
42,175.23,2024-01-07,2024-01-14,True,0.0
43,68.94,2023-12-14,,False,21.71
43,85.8,2023-12-17,,False,29.96
43,191.47,2024-07-29,,False,18.08
43,137.6,2023-12-18,2023-12-27,True,0.0
44,126.42,2024-03-30,,False,14.06
45,195.89,2024-01-07,,False,9.78
45,74.95,2024-11-20,,False,10.53
45,172.2,2024-03-26,,False,20.78
46,101.21,2024-03-07,,False,10.7
47,70.17,2024-08-24,2024-09-11,True,0.0
47,134.1,2024-10-07,,False,19.09
48,103.04,2024-07-18,,False,42.94
49,182.8,2024-07-23,,False,27.33
49,66.7,2024-02-05,2024-03-04,True,0.0
50,102.05,2024-03-03,,False,20.67
50,92.09,2024-02-25,,False,45.87
51,103.83,2023-12-29,2024-01-20,True,0.0
51,82.91,2024-08-10,2024-08-11,True,0.0
52,158.06,2024-10-12,,False,22.39
52,165.58,2024-10-06,,False,20.93
53,158.22,2024-07-10,2024-08-05,True,0.0
54,52.63,2024-10-23,2024-11-12,True,0.0
54,116.98,2024-06-26,2024-07-09,True,0.0
54,65.86,2024-11-29,,False,13.92
54,51.57,2024-04-02,2024-04-04,True,0.0
54,72.24,2024-09-19,,False,42.26
55,123.65,2024-05-03,,False,43.1
55,53.26,2024-03-29,2024-03-31,True,0.0
55,56.83,2024-09-07,,False,45.65
55,168.71,2024-09-24,2024-10-04,True,0.0
55,196.45,2024-11-23,2024-12-17,True,0.0
56,157.48,2024-11-10,2024-11-26,True,0.0
56,116.62,2024-02-18,2024-02-27,True,0.0
56,191.96,2024-08-22,2024-09-04,True,0.0
56,97.29,2024-09-04,2024-09-08,True,0.0
57,58.04,2023-12-10,,False,22.58
57,52.1,2024-10-11,2024-10-25,True,0.0
57,161.57,2024-11-27,2024-12-07,True,0.0
58,125.31,2024-10-12,,False,37.81
58,70.3,2024-07-24,2024-07-28,True,0.0
58,82.31,2024-01-31,2024-02-07,True,0.0
58,112.23,2024-02-29,,False,9.98
59,142.0,2024-01-09,2024-02-08,True,0.0
59,184.28,2024-03-02,,False,13.44
59,59.18,2024-03-16,,False,23.15
60,88.86,2024-04-12,2024-05-05,True,0.0
60,108.75,2024-02-27,2024-03-07,True,0.0
61,142.64,2024-08-19,2024-08-31,True,0.0
61,193.26,2024-04-24,2024-05-04,True,0.0
61,133.22,2024-11-03,,False,45.28
62,103.35,2024-01-26,2024-02-10,True,0.0
62,128.14,2024-06-11,,False,44.2
62,81.67,2024-07-18,,False,46.36
62,191.81,2024-03-26,2024-04-01,True,0.0
62,132.55,2024-07-25,2024-07-27,True,0.0
63,73.9,2024-11-07,,False,14.19
63,54.58,2024-10-25,,False,42.7
63,165.2,2024-03-10,2024-03-21,True,0.0
63,51.35,2024-03-19,2024-04-12,True,0.0
64,91.49,2024-01-17,,False,47.11
65,61.27,2024-06-27,,False,42.5
65,74.72,2024-01-06,,False,30.31
65,179.23,2024-05-14,,False,10.18
65,84.27,2024-06-02,,False,34.98
66,153.68,2024-12-04,2024-12-26,True,0.0
66,172.93,2024-08-02,,False,20.61
66,183.71,2024-10-25,2024-11-09,True,0.0
67,88.48,2023-12-13,2024-01-08,True,0.0
67,88.03,2024-11-29,,False,21.41
67,178.14,2024-08-14,2024-08-24,True,0.0
67,77.74,2024-09-05,2024-10-04,True,0.0
67,134.92,2024-05-06,,False,36.03
68,93.13,2024-01-29,2024-02-18,True,0.0
68,151.45,2024-11-18,,False,17.03
69,59.81,2024-11-25,2024-12-23,True,0.0
69,158.75,2024-07-20,2024-08-10,True,0.0
69,91.25,2024-11-10,2024-12-02,True,0.0
69,55.21,2024-11-01,2024-11-05,True,0.0
69,80.93,2024-01-20,,False,19.14
70,79.23,2023-12-28,,False,34.37
70,57.55,2024-05-08,2024-05-15,True,0.0
71,71.0,2024-01-03,,False,46.86
72,168.26,2024-01-20,,False,32.59
72,191.87,2024-09-19,,False,19.33
72,177.79,2024-02-12,2024-02-14,True,0.0
73,154.19,2024-03-22,2024-03-28,True,0.0
74,177.13,2024-10-23,,False,34.25
74,79.97,2023-12-31,2024-01-29,True,0.0
74,69.32,2024-01-04,2024-01-07,True,0.0
75,186.86,2024-03-10,2024-03-18,True,0.0
75,151.23,2023-12-29,2024-01-10,True,0.0
75,89.56,2023-12-11,2023-12-18,True,0.0
76,52.1,2024-09-28,,False,37.37
76,73.0,2024-02-26,,False,37.5
76,85.37,2024-11-16,,False,36.57
76,135.72,2024-04-24,2024-05-08,True,0.0
76,131.2,2024-01-09,,False,20.43
77,163.59,2024-03-22,,False,9.58
77,54.81,2024-10-26,,False,15.09
77,184.6,2024-07-09,2024-07-15,True,0.0
77,66.31,2024-10-13,,False,39.58
77,185.8,2024-09-06,,False,41.37
78,93.28,2024-12-07,2024-12-21,True,0.0
78,152.01,2024-08-24,,False,18.02
79,134.06,2024-06-22,,False,34.92
79,160.49,2024-07-01,,False,40.14
79,99.99,2024-02-23,,False,15.65
80,134.72,2024-08-01,2024-08-24,True,0.0
80,155.4,2024-09-17,2024-09-24,True,0.0
80,146.61,2024-11-08,,False,28.1
80,145.83,2024-04-30,,False,17.11
81,158.43,2024-09-20,,False,12.22
81,61.7,2023-12-14,2023-12-28,True,0.0
82,110.87,2024-08-11,2024-08-31,True,0.0
83,128.15,2024-06-02,2024-06-12,True,0.0
83,70.18,2024-07-05,2024-07-11,True,0.0
84,110.75,2024-01-20,2024-01-29,True,0.0
84,125.33,2024-03-12,2024-03-22,True,0.0
85,198.03,2024-09-29,,False,36.83
86,93.33,2024-01-15,2024-01-19,True,0.0
86,138.26,2024-05-04,2024-05-21,True,0.0
86,80.62,2024-04-01,,False,45.31
87,66.01,2024-09-01,2024-09-05,True,0.0
87,95.25,2024-09-05,2024-09-06,True,0.0
87,85.18,2024-12-05,,False,19.41
88,90.68,2024-09-02,,False,23.33
88,105.23,2024-07-16,2024-08-01,True,0.0
88,129.66,2024-11-07,,False,39.67
88,134.2,2024-02-12,2024-02-23,True,0.0
89,196.3,2024-04-13,2024-04-16,True,0.0
89,185.8,2023-12-31,,False,30.23
89,146.63,2024-02-08,,False,42.05
90,112.43,2023-12-29,2024-01-08,True,0.0
91,122.53,2024-01-17,2024-02-13,True,0.0
91,79.91,2024-05-07,2024-06-04,True,0.0
91,157.72,2024-02-26,,False,20.32
91,158.99,2024-02-12,,False,45.43
92,164.57,2024-02-21,,False,12.84
92,188.22,2024-11-30,2024-12-20,True,0.0
92,135.06,2024-11-04,,False,40.58
93,71.67,2024-08-16,2024-08-18,True,0.0
93,164.54,2024-07-16,,False,21.0
93,160.28,2024-10-06,,False,23.35
93,88.69,2024-03-20,2024-04-07,True,0.0
93,101.96,2024-03-19,2024-04-14,True,0.0
94,100.34,2024-07-24,2024-08-01,True,0.0
94,143.84,2024-09-27,2024-10-20,True,0.0
94,182.42,2024-07-25,2024-08-23,True,0.0
94,98.41,2024-10-26,2024-11-25,True,0.0
95,130.16,2024-02-24,,False,8.01
95,81.52,2023-12-10,2023-12-14,True,0.0
95,120.16,2024-04-20,2024-05-03,True,0.0
96,128.99,2024-04-12,2024-04-14,True,0.0
97,181.35,2024-03-24,2024-04-11,True,0.0
97,159.94,2024-06-09,,False,39.65
97,146.68,2023-12-11,2024-01-03,True,0.0
97,102.59,2024-08-30,2024-09-05,True,0.0
98,180.97,2024-02-03,,False,46.64
98,99.1,2024-07-06,,False,27.48
98,165.94,2024-10-17,2024-11-09,True,0.0
99,151.27,2024-07-28,2024-07-30,True,0.0
99,65.1,2024-07-13,,False,39.87
99,109.45,2024-02-27,,False,27.01
100,53.44,2024-10-11,2024-10-18,True,0.0
100,118.73,2024-11-19,2024-12-11,True,0.0
100,56.09,2024-05-15,,False,32.6
100,145.29,2024-11-26,,False,45.03
100,68.67,2024-01-20,,False,6.57
101,133.23,2024-02-23,,False,20.65
102,169.65,2024-02-13,2024-02-27,True,0.0
102,157.29,2024-12-05,2024-12-16,True,0.0
103,83.0,2024-05-16,,False,43.75
103,119.38,2024-01-22,,False,15.69
104,160.77,2024-08-22,,False,5.74
104,135.54,2024-03-15,,False,44.42
104,63.02,2024-11-11,,False,29.66
105,84.44,2024-05-19,,False,46.65
105,185.23,2024-07-28,2024-08-19,True,0.0
105,60.57,2024-02-29,,False,9.85
106,196.61,2024-08-17,,False,24.37
106,59.31,2024-01-13,,False,47.68
106,199.24,2024-09-03,2024-09-23,True,0.0
106,149.68,2024-09-09,,False,5.39
106,119.04,2024-10-07,2024-10-08,True,0.0
107,189.61,2024-12-05,2024-12-21,True,0.0
107,126.46,2024-10-24,2024-10-29,True,0.0
107,190.7,2024-01-27,2024-02-18,True,0.0
107,99.63,2024-11-10,,False,26.07
107,167.48,2024-12-06,,False,38.2
108,112.31,2024-11-23,2024-11-26,True,0.0
108,89.08,2024-09-02,,False,15.84
108,57.71,2024-04-11,2024-04-16,True,0.0
108,199.01,2024-09-18,2024-09-23,True,0.0
108,70.41,2024-10-16,2024-11-15,True,0.0
109,147.07,2024-11-22,,False,15.63
109,81.55,2024-05-11,,False,6.87
109,137.69,2024-09-06,,False,35.69
109,176.02,2024-03-23,,False,24.75
109,166.46,2024-09-09,2024-09-11,True,0.0
110,94.89,2024-08-29,,False,8.79
110,124.27,2024-06-17,,False,49.04
111,54.99,2023-12-10,,False,7.79
111,124.65,2024-03-15,,False,42.39
111,100.64,2024-02-23,,False,38.45
111,124.37,2024-11-11,,False,15.46
111,172.36,2024-02-02,2024-02-07,True,0.0
112,160.4,2024-01-23,2024-02-06,True,0.0
112,182.34,2024-07-08,,False,41.8
112,50.8,2024-10-29,2024-11-19,True,0.0
112,53.41,2024-06-25,2024-07-17,True,0.0
112,74.84,2024-07-13,2024-07-26,True,0.0
113,167.03,2024-10-17,2024-11-01,True,0.0
114,190.1,2024-11-17,,False,10.58
114,175.09,2024-02-24,2024-03-11,True,0.0
114,172.74,2024-03-12,2024-03-15,True,0.0
114,138.6,2024-07-18,2024-08-14,True,0.0
115,134.45,2024-01-04,,False,21.06
115,118.34,2024-11-20,,False,45.79
115,104.64,2024-05-08,2024-05-09,True,0.0
115,157.9,2024-08-25,,False,24.95
116,125.36,2024-01-02,2024-01-03,True,0.0
116,126.94,2024-11-10,2024-11-28,True,0.0
117,71.42,2024-03-14,2024-03-28,True,0.0
118,170.08,2024-03-08,2024-03-17,True,0.0
118,75.2,2024-02-27,,False,16.09
118,58.05,2024-08-27,2024-09-03,True,0.0
118,96.49,2023-12-30,,False,10.99
119,89.18,2024-04-24,,False,25.93
119,159.45,2024-08-20,,False,22.78
120,142.91,2024-06-27,,False,44.47
120,179.09,2024-02-07,,False,49.21
120,94.4,2024-10-31,2024-11-27,True,0.0
121,141.92,2024-07-21,,False,9.92
121,78.84,2024-08-11,,False,21.89
121,163.6,2024-10-20,,False,14.36
122,178.09,2024-01-23,2024-02-18,True,0.0
122,80.42,2024-09-23,,False,7.28
122,132.99,2024-07-19,,False,9.24
122,73.62,2024-10-04,2024-10-29,True,0.0
123,52.31,2024-09-03,2024-09-12,True,0.0
123,79.8,2024-04-04,,False,48.02
123,75.13,2024-06-11,2024-07-10,True,0.0
123,146.8,2024-11-28,2024-12-20,True,0.0
123,85.47,2023-12-26,,False,5.07
124,142.75,2024-07-14,2024-07-22,True,0.0
124,182.23,2024-07-25,,False,49.83
124,169.21,2024-01-15,,False,10.69
125,108.61,2024-04-23,2024-05-04,True,0.0
125,77.89,2024-06-21,2024-07-08,True,0.0
125,100.35,2024-03-12,,False,36.97
125,101.26,2024-07-02,,False,16.05
126,120.1,2024-04-07,2024-04-30,True,0.0
126,90.9,2024-01-28,2024-02-25,True,0.0
127,159.16,2024-07-22,,False,38.23
128,138.52,2024-09-30,2024-10-01,True,0.0
129,128.33,2024-04-19,,False,45.43
129,64.6,2024-09-18,,False,27.28
130,63.27,2024-06-29,,False,35.87
131,114.03,2024-05-23,2024-06-19,True,0.0
132,129.88,2024-06-22,2024-07-10,True,0.0
133,77.11,2024-01-03,,False,21.67
134,99.61,2023-12-16,2023-12-31,True,0.0
134,152.39,2024-11-30,2024-12-13,True,0.0
135,91.74,2024-09-20,2024-10-03,True,0.0
135,163.37,2024-06-05,2024-06-20,True,0.0
135,178.46,2024-04-28,,False,32.54
136,136.44,2024-08-06,2024-08-29,True,0.0
136,175.27,2024-11-19,2024-11-26,True,0.0
136,187.6,2024-08-30,,False,25.92
137,111.64,2024-06-21,,False,44.74
137,199.79,2024-02-06,2024-03-03,True,0.0
137,55.04,2024-05-03,2024-05-28,True,0.0
137,197.0,2023-12-19,2024-01-07,True,0.0
137,141.92,2024-03-11,,False,13.66
138,89.01,2024-09-29,,False,19.64
139,61.64,2024-04-02,,False,26.15
140,134.03,2024-03-19,2024-04-09,True,0.0
140,173.0,2024-01-20,,False,7.95
140,140.25,2024-07-03,,False,49.48
140,123.13,2024-02-07,2024-03-04,True,0.0
140,144.37,2024-09-03,,False,26.37
141,112.72,2023-12-26,,False,18.53
141,170.57,2024-11-18,,False,38.15
141,195.3,2024-03-15,,False,36.45
141,126.85,2024-01-06,,False,11.46
141,196.33,2024-06-20,,False,22.3
142,94.57,2024-10-05,,False,39.47
143,168.39,2024-05-05,2024-05-21,True,0.0
144,118.35,2024-10-02,,False,26.58
144,115.71,2024-05-19,,False,40.65
145,157.11,2024-09-21,2024-10-15,True,0.0
145,184.93,2024-11-21,2024-12-19,True,0.0
146,172.8,2023-12-28,2024-01-13,True,0.0
146,119.91,2024-05-09,2024-05-24,True,0.0
146,139.31,2024-11-20,2024-12-07,True,0.0
147,162.29,2024-03-20,,False,10.74
148,195.31,2024-05-08,2024-06-04,True,0.0
148,186.03,2024-06-07,2024-06-15,True,0.0
148,79.49,2024-01-09,,False,27.94
149,130.31,2024-08-15,,False,20.53
149,63.46,2024-06-09,,False,18.2
149,141.28,2024-08-13,,False,37.13
150,159.87,2024-03-04,,False,19.51
150,166.27,2024-08-23,2024-08-26,True,0.0
150,96.83,2024-07-04,2024-07-18,True,0.0
150,85.36,2024-11-10,,False,7.0
150,81.04,2024-03-16,,False,45.54
151,150.83,2024-12-03,2024-12-25,True,0.0
151,120.72,2024-01-21,2024-01-25,True,0.0
151,90.32,2024-09-27,,False,35.49
151,101.25,2024-08-08,2024-08-20,True,0.0
152,79.31,2024-08-02,,False,43.16
152,130.58,2024-04-17,,False,32.92
153,158.16,2024-04-11,,False,46.32
153,100.56,2024-03-12,2024-03-30,True,0.0
153,162.84,2024-02-21,2024-02-25,True,0.0
153,175.11,2024-03-29,2024-04-28,True,0.0
154,79.67,2024-07-07,2024-07-26,True,0.0
154,70.27,2024-11-11,2024-12-01,True,0.0
154,55.7,2024-07-03,2024-07-17,True,0.0
154,64.26,2024-06-29,,False,19.8
154,131.36,2024-07-03,,False,26.12
155,179.95,2024-11-26,2024-12-18,True,0.0
156,89.5,2023-12-21,,False,34.26
156,157.61,2024-08-19,,False,46.32
157,179.09,2024-07-26,2024-08-22,True,0.0
158,190.86,2024-06-29,2024-07-07,True,0.0
158,132.9,2024-09-26,2024-10-21,True,0.0
158,120.8,2024-02-06,,False,49.66
158,196.8,2024-09-06,2024-09-08,True,0.0
158,126.5,2024-10-03,,False,20.79
159,77.48,2024-12-03,2024-12-17,True,0.0
159,82.12,2024-02-05,,False,14.53
159,58.12,2024-08-17,,False,10.97
159,196.77,2024-07-10,2024-08-02,True,0.0
160,115.68,2024-01-21,2024-02-07,True,0.0
160,167.01,2024-10-13,,False,38.05
161,106.72,2024-03-04,2024-03-14,True,0.0
161,118.96,2024-06-24,2024-07-11,True,0.0
162,180.4,2024-03-27,2024-04-18,True,0.0
163,162.06,2024-05-26,,False,34.37
163,81.65,2024-05-21,,False,24.45
163,133.27,2023-12-18,2024-01-02,True,0.0
164,60.64,2024-04-11,2024-04-25,True,0.0
164,96.17,2024-02-22,,False,8.66
164,121.5,2024-01-05,2024-01-09,True,0.0
165,55.19,2023-12-28,2024-01-21,True,0.0
166,191.58,2024-08-13,2024-08-31,True,0.0
166,74.51,2023-12-15,,False,26.74
166,165.54,2024-09-06,2024-09-17,True,0.0
166,66.21,2024-09-28,2024-10-22,True,0.0
167,164.21,2024-12-01,,False,29.75
167,97.45,2024-08-13,2024-09-12,True,0.0
168,114.41,2024-05-17,2024-06-11,True,0.0
169,195.82,2024-03-24,2024-04-05,True,0.0
169,187.32,2024-07-23,2024-08-06,True,0.0
169,72.65,2024-04-27,2024-05-26,True,0.0
170,114.57,2024-08-01,,False,38.76
170,143.72,2024-01-06,,False,9.57
171,166.64,2024-03-30,,False,7.65
171,170.29,2024-01-22,,False,29.18
171,173.65,2024-02-07,2024-02-11,True,0.0
171,118.81,2024-05-28,2024-06-20,True,0.0
172,173.17,2024-11-26,2024-12-23,True,0.0
172,56.2,2024-02-03,,False,44.04
172,117.03,2024-05-05,,False,46.33
172,174.47,2024-03-19,2024-03-30,True,0.0
172,85.87,2023-12-20,2024-01-19,True,0.0
173,58.71,2023-12-31,2024-01-30,True,0.0
173,98.15,2024-06-28,,False,32.83
173,168.25,2024-06-04,,False,15.13
173,164.2,2024-02-07,,False,48.51
173,102.72,2024-11-03,,False,27.47
174,97.97,2024-08-25,,False,5.19
175,142.28,2024-02-14,2024-03-05,True,0.0
175,151.53,2024-02-19,2024-03-17,True,0.0
175,147.33,2024-01-23,,False,5.93
175,162.32,2024-05-17,2024-06-02,True,0.0
175,79.52,2024-03-10,2024-03-20,True,0.0
176,151.9,2024-05-09,,False,17.38
176,117.63,2024-04-09,,False,7.89
177,157.25,2024-01-09,,False,18.17
178,157.31,2024-06-01,2024-06-19,True,0.0
178,107.35,2024-05-17,,False,37.61
178,85.33,2024-07-04,,False,17.32
179,65.79,2024-10-31,2024-11-13,True,0.0
179,132.61,2024-11-10,2024-11-18,True,0.0
180,74.1,2024-02-14,2024-03-12,True,0.0
180,53.92,2023-12-29,2024-01-14,True,0.0
180,178.27,2024-11-28,,False,23.08
180,74.27,2024-04-22,,False,40.49
181,157.64,2024-08-10,,False,44.53
181,151.99,2024-02-05,2024-02-06,True,0.0
181,113.77,2024-10-10,,False,36.63
181,158.77,2024-10-18,,False,17.85
181,181.36,2023-12-19,2024-01-15,True,0.0
182,199.93,2024-10-06,,False,21.56
182,191.38,2024-07-30,,False,7.79
182,129.36,2023-12-09,2024-01-05,True,0.0
183,173.38,2024-06-27,,False,45.6
183,51.07,2024-07-21,2024-08-16,True,0.0
183,92.52,2024-08-19,,False,40.75
183,156.78,2024-06-05,2024-06-16,True,0.0
183,99.8,2024-03-15,,False,43.45
184,107.99,2024-07-08,,False,46.31
184,192.65,2024-08-24,,False,32.02
185,157.68,2024-07-22,,False,42.86
185,99.89,2024-02-23,,False,8.11
185,150.84,2023-12-11,2023-12-21,True,0.0
185,176.55,2024-06-05,2024-06-08,True,0.0
185,152.72,2024-11-16,,False,23.92
186,151.88,2024-01-27,,False,20.52
186,115.33,2024-02-21,,False,10.35
186,115.27,2024-06-02,,False,28.01
186,82.38,2024-01-29,,False,15.08
186,97.11,2024-08-25,2024-08-30,True,0.0
187,185.26,2024-06-13,,False,10.61
187,173.35,2024-08-15,,False,19.82
187,135.44,2024-01-18,,False,43.62
187,199.43,2024-06-28,2024-07-26,True,0.0
188,167.35,2023-12-25,,False,31.43
189,83.89,2024-05-07,2024-06-02,True,0.0
189,155.4,2024-07-20,2024-08-19,True,0.0
190,180.1,2023-12-09,,False,15.19
191,165.45,2024-05-09,,False,21.76
192,139.59,2023-12-28,2024-01-27,True,0.0
193,164.95,2024-09-05,,False,24.88
194,94.42,2024-06-12,,False,30.7
194,141.69,2024-09-04,2024-09-16,True,0.0
194,91.96,2024-01-19,2024-01-30,True,0.0
195,163.79,2024-10-10,2024-11-09,True,0.0
195,175.1,2023-12-24,,False,10.75
195,119.21,2024-02-06,2024-02-14,True,0.0
195,125.67,2024-10-14,2024-11-03,True,0.0
195,72.38,2024-08-26,,False,5.7
196,84.3,2023-12-20,,False,37.7
196,66.67,2024-05-24,,False,42.38
196,135.17,2024-08-30,2024-09-18,True,0.0
196,100.26,2024-11-22,,False,17.92
197,108.59,2024-04-03,,False,27.68
197,140.7,2024-04-25,2024-05-04,True,0.0
197,69.8,2024-04-13,2024-05-01,True,0.0
197,130.15,2024-11-24,,False,8.0
197,68.99,2024-01-11,2024-01-19,True,0.0
198,147.17,2024-04-04,2024-05-04,True,0.0
198,135.92,2024-04-14,,False,8.88
198,94.81,2024-05-03,2024-05-14,True,0.0
198,189.84,2024-11-25,2024-12-10,True,0.0
199,65.68,2024-10-27,2024-11-21,True,0.0
199,76.59,2024-03-06,2024-03-18,True,0.0
199,191.03,2024-04-04,,False,24.18
200,99.9,2024-03-01,,False,43.93
201,110.54,2024-11-24,2024-12-06,True,0.0
201,107.82,2024-10-18,2024-11-10,True,0.0
201,74.52,2024-07-16,2024-08-14,True,0.0
201,132.41,2024-08-18,2024-08-27,True,0.0
201,197.08,2024-02-15,,False,44.7
202,62.87,2024-09-19,2024-09-20,True,0.0
202,117.69,2024-04-07,,False,22.53
202,185.63,2024-05-24,2024-06-19,True,0.0
202,189.55,2024-09-04,,False,29.03
202,90.2,2024-05-15,,False,13.21
203,78.78,2024-02-01,2024-02-29,True,0.0
203,57.61,2024-10-10,2024-10-13,True,0.0
203,165.63,2024-08-30,2024-09-02,True,0.0
204,131.6,2024-08-27,2024-09-16,True,0.0
204,172.01,2024-09-30,,False,10.62
205,122.61,2024-05-08,,False,34.51
